Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2017,Skyler Ewing,SFG,LEVEL,24,354,0.10169492,0.20621469,0.49315068,0.24579125,0.35875706,0.45454545,0.81330251,0.2087542,3.250165149,0.28037383,-0.33442759,55.47918122,14.90653385,0.372098679,136.740353,sa827317
2017,Richie Fecteau,LAA,LEVEL,23,246,0.06097561,0.12601626,0.48387097,0.31531532,0.36734694,0.49099099,0.85833793,0.17567567,3.823203163,0.33333333,-0.428916557,40.3462925,11.38126881,0.382446401,139.2931452,sa827319
2015,Will Maddox,DET,LEVEL,23,47,0.0212766,0.12765957,0.16666667,0.39534884,0.42222222,0.44186047,0.86408269,0.04651163,3.353769348,0.45945946,-0.400102294,8.170380002,2.914887046,0.404664804,155.4636277,sa827323
2016,Will Maddox,DET,LEVEL,24,558,0.05734767,0.15949821,0.35955056,0.33855186,0.37974684,0.40117417,0.78092101,0.06262231,5.155021175,0.40375587,1.053540604,79.46398388,18.81440619,0.362664908,131.0214958,sa827323
2017,Bobby Melley,TBR,LEVEL,23,186,0.11827957,0.17741935,0.66666667,0.25157233,0.34408602,0.34591195,0.68999797,0.09433962,1.530569018,0.29365079,-0.007014205,21.95643246,0.056048687,0.323099085,100.2559256,sa827324
2016,Tyler Spoon,BOS,LEVEL,23,116,0.06034483,0.26724138,0.22580645,0.22429907,0.27586207,0.29906542,0.57492749,0.07476635,2.642539739,0.29333333,-0.210637318,8.755999415,-4.384016277,0.268260072,66.63614124,sa827327
2017,Tyler Spoon,BOS,LEVEL,24,70,0.01428571,0.11428571,0.125,0.31818182,0.32857143,0.40909091,0.73766234,0.09090909,4.358766205,0.35,-0.026379901,8.767331789,0.744491915,0.330518103,109.2796557,sa827327
2015,Vicente Conde,NYY,LEVEL,21,369,0.11111111,0.20054201,0.55405405,0.26479751,0.35054348,0.41433022,0.7648737,0.14953271,3.777145806,0.32377049,-0.473108084,51.68010751,8.212276893,0.353222451,118.8927692,sa827330
2016,Vicente Conde,NYY,LEVEL,22,111,0.11711712,0.23423423,0.5,0.29591837,0.37837838,0.33673469,0.71511307,0.04081632,6.188593055,0.40277778,0.579303098,14.23693464,1.663298938,0.337988145,113.2284645,sa827330
2017,Vicente Conde,NYY,LEVEL,23,81,0.13580247,0.28395062,0.47826087,0.13043478,0.25,0.23188406,0.48188406,0.10144928,1.162593955,0.17777778,-0.021983251,4.434972929,-4.848598925,0.23738454,47.77226911,sa827330
2015,Collin Slaybaugh,NYY,LEVEL,23,193,0.05699482,0.15025907,0.37931034,0.28888889,0.33333333,0.32222222,0.65555555,0.03333333,5.711903713,0.34437086,1.852913203,20.65394068,-2.081266121,0.309971092,90.84562485,sa827335
2016,Chris Chinea,STL,LEVEL,22,411,0.05352798,0.15571776,0.34375,0.31233596,0.34963325,0.42257218,0.77220543,0.11023622,1.676447697,0.35873016,-0.156281193,56.79568286,12.12368208,0.356853092,127.1393308,sa827344
2015,Sean McMullen,HOU,LEVEL,23,259,0.10810811,0.27027027,0.4,0.23853211,0.32156863,0.39449541,0.71606404,0.1559633,5.81310129,0.31333333,-0.423444104,31.04565632,2.084535568,0.331491094,107.1977034,sa827347
2016,Brett Pirtle,DET,LEVEL,25,408,0.07843137,0.13235294,0.59259259,0.28611111,0.35162095,0.35833333,0.70995428,0.07222222,5.000055513,0.33116883,0.879920421,49.52528865,5.179360878,0.333708794,111.6794509,sa827348
2018,Terence Connelly,ARI,LEVEL,24,42,0.16666667,0.28571429,0.58333333,0.20588235,0.33333333,0.20588235,0.53921568,0,4.055481247,0.30434783,0.384735387,3.287149032,-1.552133019,0.275128494,67.92637828,sa827357
2015,Andrew Daniel,LAA,LEVEL,22,302,0.0794702,0.20198675,0.39344262,0.26315789,0.32666667,0.43233083,0.7589975,0.16917294,4.818736513,0.30541872,-0.232051332,40.09688891,6.327551191,0.348986136,118.7375638,sa827358
2015,Taylor Gushue,PIT,LEVEL,21,395,0.06329114,0.2,0.3164557,0.23055556,0.28753181,0.34166667,0.62919848,0.11111111,3.628506282,0.27956989,-0.82412426,36.72363635,-9.806968232,0.291586224,78.92361743,sa827360
2016,Bradley Strong,CHW,LEVEL,23,238,0.07142857,0.1512605,0.47222222,0.25925926,0.31355932,0.38425926,0.69781858,0.125,6.37664863,0.28813559,0.981355321,27.14175437,0.182067007,0.319201663,100.6753306,sa827365
2015,T.J. White,MIN,LEVEL,23,447,0.09619687,0.10961969,0.87755102,0.26578947,0.35874439,0.37105263,0.72979702,0.10526316,6.075752985,0.29464286,0.917166028,58.16341473,8.180322157,0.34539099,116.3661785,sa827369
2016,Alejandro Salazar,ATL,LEVEL,19,336,0.03571429,0.18452381,0.19354839,0.27884615,0.30487805,0.31089744,0.61577549,0.03205129,3.772057242,0.34387352,-1.618738776,29.46307565,-8.597659451,0.284384791,77.41068472,sa827937
2019,Jesus Severino,TOR,LEVEL,22,44,0.09090909,0.22727273,0.4,0.125,0.20454545,0.2,0.40454545,0.075,4.613761993,0.16666667,-0.414517592,1.10123996,-3.975304176,0.19976441,21.69270926,sa827943
2018,Bryan Lizardo,TOR,LEVEL,20,72,0.11111111,0.25,0.44444444,0.265625,0.34722222,0.3125,0.65972222,0.046875,1.017857143,0.36956522,-0.023987259,7.861344118,-0.434567969,0.315719497,94.76166135,sa827944
2017,Franklin Rollin,TEX,LEVEL,21,333,0.02702703,0.2012012,0.13432836,0.23492063,0.26807229,0.35238095,0.62045324,0.11746032,7.933931894,0.28163265,-0.494564708,29.61997405,-8.545821347,0.282562402,77.60869056,sa827951
2018,Franklin Rollin,TEX,LEVEL,22,32,0.15625,0.09375,1.66666667,0.2962963,0.40625,0.44444444,0.85069444,0.14814814,6.412328645,0.30434783,0.789939646,5.587599225,1.827887244,0.387860464,148.6177466,sa827951
2018,Melvin Novoa,TEX,LEVEL,22,99,0.05050505,0.12121212,0.41666667,0.32222222,0.37755102,0.47777778,0.8553288,0.15555556,1.275669643,0.35526316,0.013469625,16.99251751,5.360908569,0.384032301,146.0891403,sa827953
2019,Melvin Novoa,TEX,LEVEL,23,340,0.06470588,0.19705882,0.32835821,0.24590164,0.30588235,0.43934426,0.74522661,0.19344262,2.219433045,0.27155172,-0.65314713,44.87446539,5.637104582,0.33704241,114.3666762,sa827953
2018,Rigoberto Terrazas,NYM,LEVEL,22,327,0.09174312,0.17737003,0.51724138,0.17627119,0.25153374,0.20677966,0.4583134,0.03050847,1.868466893,0.21848739,0.036916749,14.69358789,-23.72596891,0.220762632,38.2450739,sa827958
2019,Anthony Dirocie,NYM,LEVEL,22,81,0.14814815,0.37037037,0.4,0.18181818,0.3125,0.3030303,0.6155303,0.12121212,3.345293941,0.28571429,-0.818867404,8.256350559,-1.091373633,0.297090532,88.32471294,sa827959
2017,Luis Carpio,NYM,LEVEL,19,535,0.09906542,0.17757009,0.55789474,0.23206751,0.30841121,0.30168776,0.61009897,0.06962025,5.232295815,0.28010471,1.195372549,49.60494451,-11.71247453,0.287543961,80.89861786,sa827960
2018,Welfrin Mateo,NYY,LEVEL,22,236,0.0720339,0.22033898,0.32692308,0.23333333,0.2887931,0.32380952,0.61260262,0.09047619,4.382796987,0.28930818,0.411391264,21.3429385,-6.384937358,0.279394254,76.97285796,sa827963
2019,Welfrin Mateo,NYY,LEVEL,23,203,0.09359606,0.18226601,0.51351351,0.26256983,0.33990148,0.40223464,0.74213612,0.13966481,4.735296107,0.31205674,0.764291961,27.59859583,4.171583346,0.342319906,117.8067235,sa827963
2018,Jerry Seitz,NYY,LEVEL,23,47,0.04255319,0.34042553,0.125,0.09302326,0.14893617,0.09302326,0.24195943,0,2.642857143,0.14285714,0.003492125,-1.443481058,-6.96555803,0.123287083,-26.14018359,sa827965
2019,Mikey Edie,SFG,LEVEL,21,302,0.04966887,0.20860927,0.23809524,0.24354244,0.31208054,0.32472325,0.63680379,0.08118081,6.139960215,0.31067961,-0.463444587,31.5779357,-3.274073013,0.300590002,90.6057839,sa827967
