Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2016,J.B. Woodman,TOR,LEVEL,21,9,34,39,15,12,2,0,1,5,5,4,0,13,0,1,0,0,0,1,0.44117647,sa738989
2017,J.B. Woodman,TOR,LEVEL,22,96,362,414,87,56,19,5,7,44,45,40,1,157,5,5,2,3,8,4,0.24033149,sa738989
2013,Ty Afenir,NYY,LEVEL,21,27,76,87,15,12,2,1,0,11,0,6,0,19,2,0,3,3,1,1,0.19736842,sa738997
2017,Robbie Tenerowicz,TBR,LEVEL,22,94,349,390,103,64,25,3,11,43,37,32,0,67,8,1,0,6,4,3,0.29512894,sa738999
2017,Ryan Kirby,SFG,LEVEL,22,23,82,93,18,10,5,2,1,8,8,9,1,34,1,1,0,2,0,0,0.2195122,sa739014
2018,Ryan Kirby,SFG,LEVEL,23,127,444,513,103,56,32,1,14,62,61,52,0,134,15,2,0,8,4,2,0.23198198,sa739014
2014,Brennan Middleton,WSN,LEVEL,23,69,225,253,57,50,7,0,0,31,17,17,0,33,4,1,6,5,5,3,0.25333333,sa739039
2015,Brennan Middleton,WSN,LEVEL,24,35,106,118,21,16,4,0,1,6,14,8,0,12,0,1,3,2,4,4,0.19811321,sa739039
2015,Fernery Ozuna,ARI,LEVEL,19,35,133,139,25,15,6,3,1,14,12,4,0,34,0,0,2,4,4,2,0.18796992,sa739259
2016,Fernery Ozuna,ARI,LEVEL,20,86,316,339,83,54,17,5,7,35,28,15,1,71,3,0,5,5,17,7,0.26265823,sa739259
2017,Fernery Ozuna,ARI,LEVEL,21,30,90,104,24,17,4,1,2,13,16,8,0,32,2,1,3,3,3,3,0.26666667,sa739259
2013,Geoff Perrott,WSN,LEVEL,22,3,12,12,4,4,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0.33333333,sa739264
2016,Manuel Guzman,MIN,LEVEL,21,30,88,103,16,15,1,0,0,14,3,14,0,12,0,1,0,1,4,3,0.18181818,sa739471
2016,Miguel Guzman,OAK,LEVEL,21,3,10,10,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3,sa739522
2015,Alexander Palma,NYY,LEVEL,19,81,277,303,56,47,4,4,1,21,26,15,1,57,3,3,5,7,8,4,0.20216606,sa739541
2016,Alexander Palma,NYY,LEVEL,20,64,238,251,63,39,17,1,6,31,37,9,0,35,1,2,1,2,5,4,0.26470588,sa739541
2017,Alexander Palma,NYY,LEVEL,21,7,27,28,8,5,2,0,1,6,4,1,0,7,0,0,0,1,0,0,0.2962963,sa739541
2014,Tanner Rust,BAL,LEVEL,23,23,69,78,13,10,2,0,1,7,6,7,0,18,2,0,0,3,0,1,0.1884058,sa739547
2015,Natanael Delgado,LAA,LEVEL,19,108,411,438,99,69,19,5,6,32,46,19,0,104,3,5,0,10,2,2,0.24087591,sa739558
2016,Natanael Delgado,BAL,LEVEL,20,88,320,352,80,56,16,0,8,34,36,27,1,100,0,4,0,5,2,1,0.25,sa739558
2015,Jesse Hodges,CHC,LEVEL,21,90,303,340,72,47,18,1,6,32,34,28,1,86,7,1,1,7,1,2,0.23762376,sa739560
2016,Jesse Hodges,CHC,LEVEL,22,61,209,232,60,50,5,5,0,27,21,21,0,45,0,2,0,2,2,4,0.28708134,sa739560
2014,Samir Duenez,KCR,LEVEL,18,41,142,149,33,22,9,2,0,12,9,7,0,19,0,0,0,1,2,1,0.23239437,sa739574
2015,Samir Duenez,KCR,LEVEL,19,101,361,396,96,78,13,4,1,47,37,24,0,33,2,2,7,6,11,5,0.26592798,sa739574
2016,Samir Duenez,KCR,LEVEL,20,68,265,285,72,48,15,3,6,30,49,15,0,40,2,3,0,4,14,2,0.27169811,sa739574
2017,Julian Leon,LAA,LEVEL,21,44,161,184,49,30,14,0,5,21,23,17,0,41,5,1,0,4,0,0,0.30434783,sa739577
2015,Julian Leon,LAD,LEVEL,19,83,309,339,62,42,15,0,5,30,26,22,0,107,7,0,1,8,0,1,0.20064725,sa739577
2015,Cristian Gomez,LAD,LEVEL,19,24,90,95,18,14,3,1,0,7,5,3,0,22,1,0,1,5,1,0,0.2,sa739578
2016,Cristian Gomez,LAD,LEVEL,20,62,190,204,32,19,10,1,2,19,20,11,0,60,1,1,1,4,4,2,0.16842105,sa739578
2014,Wendell Rijo,BOS,LEVEL,18,111,409,473,104,62,27,6,9,56,46,56,1,103,4,2,2,4,16,6,0.25427873,sa739597
2014,Daniel McGrath,BOS,LEVEL,19,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,sa739598
2015,Alex Maldonado,TOR,LEVEL,24,50,167,195,33,25,7,0,1,30,17,24,0,37,1,3,0,4,6,1,0.19760479,sa739627
