"","season","name","team","age","w","l","g","gs","sv","bs","ip","babip","h","r","er","hr","bb","so","fip","war","player_id","year_in_mlb","sum_yrs"
"3322",1995,"Roger Clemens","BOS",32,10,5,23,23,0,NA,140,0.313,141,70,65,15,60,132,4.2,2.4,815,12,120
"3323",1996,"Roger Clemens","BOS",33,10,13,34,34,0,NA,242.2,0.305,216,106,98,19,106,257,3.43,6.8,815,13,120
"3324",1997,"Roger Clemens","TOR",34,21,7,34,34,0,NA,264,0.294,204,65,60,9,68,292,2.25,10.7,815,14,120
"3325",1998,"Roger Clemens","TOR",35,20,6,33,33,0,NA,234.2,0.271,169,78,69,11,88,271,2.65,8.2,815,15,120
"3326",1999,"Roger Clemens","NYY",36,14,10,30,30,0,NA,187.2,0.306,185,101,96,20,90,163,4.36,3.2,815,16,210
"3327",2000,"Roger Clemens","NYY",37,13,8,32,32,0,NA,204.1,0.277,184,96,84,26,84,188,4.33,3.6,815,17,210
"3328",2001,"Roger Clemens","NYY",38,20,3,33,33,0,NA,220.1,0.305,205,94,86,19,72,213,3.29,5.6,815,18,210
"3329",2002,"Roger Clemens","NYY",39,13,6,29,29,0,0,180,0.316,172,94,87,18,63,192,3.3,4.3,815,19,210
"3330",2003,"Roger Clemens","NYY",40,17,9,33,33,0,0,211.2,0.291,199,99,92,24,58,190,3.6,4.5,815,20,210
"3331",1978,"Roger Erickson","MIN",21,14,13,37,37,0,NA,265.2,0.279,268,129,117,19,79,121,3.59,3.9,1003812,1,15
"3332",1979,"Roger Erickson","MIN",22,3,10,24,21,0,NA,123,0.309,154,86,77,17,48,47,4.96,0.4,1003812,2,15
"3333",1980,"Roger Erickson","MIN",23,7,13,32,27,0,NA,191.1,0.289,198,83,69,13,56,97,3.56,3.2,1003812,3,15
"3334",1981,"Roger Erickson","MIN",24,3,8,14,14,0,NA,91.1,0.271,93,48,39,7,31,44,3.65,1.2,1003812,4,15
"3335",1982,"Roger Erickson","- - -",25,8,8,23,18,1,NA,111.1,0.323,142,65,57,11,29,49,3.93,1.5,1003812,5,15
"3336",1992,"Roger Pavlik","TEX",24,4,4,13,12,0,NA,62,0.332,66,32,29,3,34,45,3.75,0.9,1010087,1,15
"3337",1993,"Roger Pavlik","TEX",25,12,6,26,26,0,NA,166.1,0.278,151,67,63,18,80,131,4.35,1.9,1010087,2,15
"3338",1994,"Roger Pavlik","TEX",26,2,5,11,11,0,NA,50.1,0.308,61,45,43,8,30,31,5.99,0,1010087,3,15
"3339",1995,"Roger Pavlik","TEX",27,10,10,31,31,0,NA,191.2,0.278,174,96,93,19,90,149,4.31,3.2,1010087,4,15
"3340",1996,"Roger Pavlik","TEX",28,15,8,34,34,0,NA,201,0.296,216,120,116,28,81,127,5,2.4,1010087,5,15
"3341",1998,"Rolando Arrojo","TBD",29,14,12,32,32,0,NA,202,0.292,195,84,80,21,65,152,4.23,3.3,174,1,15
"3342",1999,"Rolando Arrojo","TBD",30,7,12,24,24,0,NA,140.2,0.326,162,84,81,23,60,107,5.32,1.1,174,2,15
"3343",2000,"Rolando Arrojo","- - -",31,10,11,32,32,0,NA,172.2,0.302,187,118,108,24,68,124,4.96,2.2,174,3,15
"3344",2001,"Rolando Arrojo","BOS",32,5,4,41,9,5,NA,103.1,0.262,88,44,40,8,35,78,3.91,1.2,174,4,15
"3345",2002,"Rolando Arrojo","BOS",33,4,3,29,8,1,3,81.1,0.296,83,47,45,7,27,51,4.04,0.8,174,5,15
"3346",1961,"Rollie Sheldon","NYY",24,11,5,35,21,0,NA,162.2,0.258,149,70,65,17,55,84,3.95,1.5,1011855,1,15
"3347",1962,"Rollie Sheldon","NYY",25,7,8,34,16,1,NA,118,0.297,136,78,72,12,28,54,3.76,1.4,1011855,2,15
"3348",1964,"Rollie Sheldon","NYY",27,5,2,19,12,1,NA,102.1,0.238,92,43,41,18,18,57,4.33,0.3,1011855,3,15
"3349",1965,"Rollie Sheldon","- - -",28,10,8,35,29,0,NA,193,0.265,185,87,83,22,57,112,3.83,1.9,1011855,4,15
"3350",1966,"Rollie Sheldon","- - -",29,5,13,37,23,0,NA,148.2,0.304,179,80,68,18,49,64,4.32,0.7,1011855,5,15
"3351",1952,"Ron Kline","PIT",20,0,7,27,11,0,NA,78.2,0.267,74,55,48,3,66,27,4.95,-0.2,1007004,1,15
"3352",1955,"Ron Kline","PIT",23,6,13,36,19,2,NA,136.2,0.301,161,78,63,13,53,48,4.18,1.3,1007004,2,15
"3353",1956,"Ron Kline","PIT",24,14,18,44,39,2,NA,264,0.274,263,110,99,26,81,125,3.68,3.5,1007004,3,15
"3354",1957,"Ron Kline","PIT",25,9,16,40,31,0,NA,205,0.268,214,107,92,28,61,88,4.28,1.1,1007004,4,15
"3355",1958,"Ron Kline","PIT",26,13,16,32,32,0,NA,237.1,0.257,220,96,93,25,92,109,4.09,2.2,1007004,5,15
"3356",2001,"Roy Oswalt","HOU",23,14,3,28,20,0,NA,141.2,0.291,126,48,43,13,24,144,2.84,4.2,571,1,15
"3357",2002,"Roy Oswalt","HOU",24,19,9,35,34,0,0,233,0.298,215,86,78,17,62,208,2.99,6.2,571,2,15
"3358",2003,"Roy Oswalt","HOU",25,10,5,21,21,0,0,127.1,0.283,116,48,42,15,29,108,3.67,2.6,571,3,15
"3359",2004,"Roy Oswalt","HOU",26,20,10,36,35,0,0,237,0.314,233,100,92,17,62,206,3.17,6.5,571,4,15
"3360",2005,"Roy Oswalt","HOU",27,20,12,35,35,0,0,241.2,0.302,243,85,79,18,48,184,3.16,6.1,571,5,15
"3361",2006,"Roy Oswalt","HOU",28,15,8,33,32,0,0,220.2,0.302,220,76,73,18,38,166,3.3,6.1,571,6,55
"3362",2007,"Roy Oswalt","HOU",29,14,7,33,32,0,0,212,0.307,221,80,75,14,60,154,3.59,4.9,571,7,55
"3363",2008,"Roy Oswalt","HOU",30,17,10,32,32,0,0,208.2,0.285,199,89,82,23,47,165,3.8,3.7,571,8,55
"3364",2009,"Roy Oswalt","HOU",31,8,6,30,30,0,0,181.1,0.298,183,83,83,19,42,138,3.76,3.5,571,9,55
"3365",2010,"Roy Oswalt","- - -",32,13,13,33,32,0,0,211.2,0.253,162,70,65,19,55,193,3.27,4.4,571,10,55
"3366",1901,"Roy Patterson","CHW",24,20,16,41,35,0,NA,312.1,0.307,345,164,117,11,62,127,3.16,3.6,1010071,1,15
"3367",1902,"Roy Patterson","CHW",25,19,14,34,30,0,NA,268,0.27,262,111,91,5,67,61,3.2,2.5,1010071,2,15
"3368",1903,"Roy Patterson","CHW",26,15,15,34,30,1,NA,293,0.268,275,119,88,5,69,89,3.08,1.3,1010071,3,15
"3369",1904,"Roy Patterson","CHW",27,9,9,22,17,0,NA,165,0.268,148,52,42,1,24,64,2.16,1.6,1010071,4,15
"3370",1905,"Roy Patterson","CHW",28,4,6,13,9,0,NA,88.2,0.248,73,34,18,0,16,29,2.41,0.9,1010071,5,15
"3371",1913,"Rube Foster","BOS",25,3,3,19,8,0,NA,68.1,0.287,64,35,24,1,28,36,2.92,0.4,1004259,1,15
"3372",1914,"Rube Foster","BOS",26,14,8,32,27,0,NA,211.2,0.242,164,68,40,2,52,89,2.45,2.7,1004259,2,15
"3373",1915,"Rube Foster","BOS",27,19,8,37,33,1,NA,255.1,0.251,217,83,60,3,86,82,2.93,2.2,1004259,3,15
"3374",1916,"Rube Foster","BOS",28,14,7,33,19,2,NA,182.1,0.286,173,73,62,0,86,53,3.21,0.4,1004259,4,15
"3375",1917,"Rube Foster","BOS",29,8,7,17,16,0,NA,124.2,0.257,108,45,35,0,53,34,3.09,0.5,1004259,5,15
"3376",1953,"Ruben Gomez","NYG",25,13,11,29,26,0,NA,204,0.234,166,89,77,17,101,113,4.11,2.7,1004827,1,15
"3377",1954,"Ruben Gomez","NYG",26,17,9,37,32,0,NA,221.2,0.252,202,85,71,20,109,106,4.18,2.2,1004827,2,15
"3378",1955,"Ruben Gomez","NYG",27,9,10,33,31,1,NA,185.1,0.292,207,103,94,20,63,79,4.05,2.3,1004827,3,15
"3379",1956,"Ruben Gomez","NYG",28,7,17,40,31,0,NA,196.1,0.261,191,108,100,19,77,76,4.17,1.6,1004827,4,15
"3380",1957,"Ruben Gomez","NYG",29,15,13,38,36,0,NA,238.1,0.252,233,110,100,28,71,92,4.17,1.8,1004827,5,15
"3381",1965,"Rudy May","CAL",20,4,9,30,19,0,NA,124,0.274,111,59,54,7,78,76,4.01,0.4,1008310,1,15
"3382",1969,"Rudy May","CAL",24,10,13,43,25,2,NA,180.1,0.244,142,81,69,20,66,133,3.62,1.9,1008310,2,15
"3383",1970,"Rudy May","CAL",25,7,13,38,34,0,NA,208.2,0.281,190,102,93,20,81,164,3.52,3,1008310,3,15
"3384",1971,"Rudy May","CAL",26,11,12,32,31,0,NA,208.1,0.249,160,74,70,12,87,156,2.98,3.5,1008310,4,15
"3385",1972,"Rudy May","CAL",27,12,11,35,30,1,NA,205.1,0.252,162,79,67,15,82,169,2.9,2.6,1008310,5,15
"3386",1973,"Rudy May","CAL",28,7,17,34,28,0,NA,185,0.28,177,101,90,20,80,134,3.87,1.5,1008310,6,55
"3387",1974,"Rudy May","- - -",29,8,5,35,18,2,NA,141.1,0.237,104,60,50,7,58,102,3.12,2.5,1008310,7,55
"3388",1975,"Rudy May","NYY",30,14,12,32,31,0,NA,212,0.266,179,87,72,9,99,145,3.2,4,1008310,8,55
"3389",1976,"Rudy May","- - -",31,15,10,35,32,0,NA,220.1,0.266,205,105,91,16,70,109,3.55,2.2,1008310,9,55
"3390",1977,"Rudy May","BAL",32,18,14,37,37,0,NA,251.2,0.261,243,114,101,25,78,105,4.18,2.2,1008310,10,55
"3391",1942,"Russ Christopher","PHA",24,4,13,30,18,1,NA,165,0.265,154,78,70,8,99,58,4.2,0.5,1002222,1,15
"3392",1943,"Russ Christopher","PHA",25,5,8,24,15,2,NA,133,0.261,120,58,51,3,58,56,3.24,1.6,1002222,2,15
"3393",1944,"Russ Christopher","PHA",26,14,14,35,24,1,NA,215.1,0.262,200,91,71,6,63,84,3.12,3.1,1002222,3,15
"3394",1945,"Russ Christopher","PHA",27,13,13,33,27,2,NA,227.1,0.27,213,92,80,9,75,100,3.28,3.1,1002222,4,15
"3395",1946,"Russ Christopher","PHA",28,5,7,30,13,0,NA,119.1,0.293,119,71,57,5,44,79,2.79,2.1,1002222,5,15
"3396",1998,"Russ Ortiz","SFG",24,4,4,22,13,0,NA,88.1,0.306,90,51,49,11,46,75,4.76,0.4,1124,1,15
"3397",1999,"Russ Ortiz","SFG",25,18,9,33,33,0,NA,207.2,0.274,189,109,88,24,125,164,4.95,1.7,1124,2,15
"3398",2000,"Russ Ortiz","SFG",26,14,12,33,32,0,NA,195.2,0.294,192,117,109,28,112,167,5.11,1.1,1124,3,15
"3399",2001,"Russ Ortiz","SFG",27,17,9,33,33,0,NA,218.2,0.273,187,90,80,13,91,169,3.52,4.4,1124,4,15
"3400",2002,"Russ Ortiz","SFG",28,14,10,33,33,0,0,214.1,0.266,191,89,86,15,94,137,3.97,2.9,1124,5,15
"3401",2003,"Russ Ortiz","ATL",29,21,7,34,34,0,0,212.1,0.25,177,101,90,17,102,149,4.17,3,1124,6,55
"3402",2004,"Russ Ortiz","ATL",30,15,9,34,34,0,0,204.2,0.283,197,98,94,23,112,143,4.8,1.6,1124,7,55
"3403",2005,"Russ Ortiz","ARI",31,5,11,22,22,0,0,115,0.309,147,92,88,18,65,46,6.05,-0.3,1124,8,55
"3404",2006,"Russ Ortiz","- - -",32,0,8,26,11,0,0,63,0.343,86,60,57,18,40,44,7.51,-1,1124,9,55
"3405",2007,"Russ Ortiz","SFG",33,2,3,12,8,0,0,49,0.319,57,32,30,4,20,27,4.79,0.4,1124,10,55
"3406",1998,"Ryan Dempster","FLA",21,1,5,14,11,0,NA,54.2,0.359,72,47,43,6,38,35,5.86,-0.3,517,1,15
"3407",1999,"Ryan Dempster","FLA",22,7,8,25,25,0,NA,147,0.298,146,77,77,21,93,126,5.3,0.7,517,2,15
"3408",2000,"Ryan Dempster","FLA",23,14,10,33,33,0,NA,226.1,0.284,210,102,92,30,97,209,4.36,3.4,517,3,15
"3409",2001,"Ryan Dempster","FLA",24,15,12,34,34,0,NA,211.1,0.308,218,123,116,21,112,171,4.45,2.2,517,4,15
"3410",2002,"Ryan Dempster","- - -",25,10,13,33,33,0,0,209,0.317,228,127,125,28,93,153,4.72,1.4,517,5,15
"3411",1889,"Sadie McMahon","PHA",21,14,12,28,27,0,NA,242,0.285,230,160,95,5,102,117,3.65,2.6,1008632,1,15
"3412",1890,"Sadie McMahon","- - -",22,36,21,60,57,1,NA,509,0.301,498,287,185,6,166,291,2.96,8.2,1008632,2,15
"3413",1891,"Sadie McMahon","BAL",23,35,24,61,58,1,NA,503,0.286,493,259,157,13,149,219,3.03,7.9,1008632,3,15
"3414",1892,"Sadie McMahon","BAL",24,19,25,48,46,1,NA,397,0.296,430,260,143,9,145,118,3.33,4.1,1008632,4,15
"3415",1893,"Sadie McMahon","BAL",25,23,18,43,40,1,NA,346.1,0.293,378,232,168,6,156,79,4.49,4.4,1008632,5,15
"3416",1945,"Sal Maglie","NYG",28,5,4,13,10,0,NA,84.1,0.247,72,22,22,2,22,32,2.94,1.8,1007968,1,15
"3417",1950,"Sal Maglie","NYG",33,18,4,47,16,1,NA,206,0.239,169,71,62,14,86,96,3.93,2.6,1007968,2,15
"3418",1951,"Sal Maglie","NYG",34,23,6,42,37,4,NA,298,0.24,254,110,97,27,86,146,3.6,4.9,1007968,3,15
"3419",1952,"Sal Maglie","NYG",35,18,8,35,31,1,NA,216,0.263,199,80,70,16,75,112,3.44,3.1,1007968,4,15
"3420",1953,"Sal Maglie","NYG",36,8,9,27,24,0,NA,145.1,0.294,158,79,67,19,47,80,4.18,1.8,1007968,5,15
"3421",1954,"Sal Maglie","NYG",37,14,6,34,32,2,NA,218.1,0.279,222,83,79,21,70,117,3.58,3.7,1007968,6,55
"3422",1955,"Sal Maglie","- - -",38,9,7,33,23,2,NA,155.1,0.286,168,81,65,18,55,82,3.96,1.9,1007968,7,55
"3423",1956,"Sal Maglie","- - -",39,13,5,30,26,0,NA,196,0.234,160,67,63,22,54,110,3.61,3.3,1007968,8,55
"3424",1957,"Sal Maglie","- - -",40,8,6,25,20,4,NA,127.1,0.247,116,48,38,13,33,59,3.75,1.7,1007968,9,55
"3425",1958,"Sal Maglie","- - -",41,3,7,17,13,0,NA,76.1,0.224,73,43,40,17,34,28,6.05,-0.8,1007968,10,55
"3426",1990,"Scott Erickson","MIN",22,8,4,19,17,0,NA,113,0.27,108,49,36,9,51,53,4.39,0.8,137,1,15
"3427",1991,"Scott Erickson","MIN",23,20,8,32,32,0,NA,204,0.27,189,80,72,13,71,108,3.76,3.2,137,2,15
"3428",1992,"Scott Erickson","MIN",24,13,12,32,32,0,NA,212,0.264,197,86,80,18,83,101,4.22,1.9,137,3,15
"3429",1993,"Scott Erickson","MIN",25,8,19,34,34,0,NA,218.2,0.327,266,138,126,17,71,116,4.05,3.3,137,4,15
"3430",1994,"Scott Erickson","MIN",26,8,11,23,23,0,NA,144,0.338,173,95,87,15,59,104,4.46,2.2,137,5,15
"3431",1995,"Scott Erickson","- - -",27,13,10,32,31,0,NA,196.1,0.305,213,108,105,18,67,106,4.32,3.4,137,6,55
"3432",1996,"Scott Erickson","BAL",28,13,12,34,34,0,NA,222.1,0.313,262,137,124,21,66,100,4.54,3.6,137,7,55
"3433",1997,"Scott Erickson","BAL",29,16,7,34,33,0,NA,221.2,0.285,218,100,91,16,61,131,3.76,4.7,137,8,55
"3434",1998,"Scott Erickson","BAL",30,16,13,36,36,0,NA,251.1,0.322,284,125,112,23,69,186,3.83,5.2,137,9,55
"3435",1999,"Scott Erickson","BAL",31,15,12,34,34,0,NA,230.1,0.289,244,127,123,27,99,106,5.17,2,137,10,55
"3436",1991,"Scott Kamieniecki","NYY",27,4,4,9,9,0,NA,55.1,0.267,54,24,24,8,22,34,4.86,0.2,1006681,1,15
"3437",1992,"Scott Kamieniecki","NYY",28,6,14,28,28,0,NA,188,0.288,193,100,91,13,74,88,4.01,2.2,1006681,2,15
"3438",1993,"Scott Kamieniecki","NYY",29,10,7,30,20,1,NA,154.1,0.287,163,73,70,17,59,72,4.69,1.1,1006681,3,15
"3439",1994,"Scott Kamieniecki","NYY",30,8,6,22,16,0,NA,117.1,0.281,115,53,49,13,59,71,4.95,1.1,1006681,4,15
"3440",1995,"Scott Kamieniecki","NYY",31,7,6,17,16,0,NA,89.2,0.26,83,43,40,8,49,43,5.04,0.7,1006681,5,15
"3441",1995,"Scott Karl","MIL",23,6,7,25,18,0,NA,124,0.308,141,65,57,10,50,59,4.48,1.7,1006703,1,15
"3442",1996,"Scott Karl","MIL",24,13,9,32,32,0,NA,207.1,0.284,220,124,112,29,72,121,5.02,2.4,1006703,2,15
"3443",1997,"Scott Karl","MIL",25,10,13,32,32,0,NA,193.1,0.302,212,103,96,23,67,119,4.53,2.4,1006703,3,15
"3444",1998,"Scott Karl","MIL",26,10,11,33,33,0,NA,192.1,0.305,219,104,94,21,66,102,4.59,1.8,1006703,4,15
"3445",1999,"Scott Karl","MIL",27,11,11,33,33,0,NA,197.2,0.316,246,121,105,21,69,74,4.93,1.8,1006703,5,15
"3446",2004,"Scott Kazmir","TBD",20,2,3,8,7,0,0,33.1,0.345,33,22,21,4,21,41,4.22,0.5,4897,1,15
"3447",2005,"Scott Kazmir","TBD",21,10,9,32,32,0,0,186,0.307,172,90,78,12,100,174,3.76,3.6,4897,2,15
"3448",2006,"Scott Kazmir","TBD",22,10,8,24,24,0,0,144.2,0.31,132,59,52,15,52,163,3.36,3.6,4897,3,15
"3449",2007,"Scott Kazmir","TBD",23,13,9,34,34,0,0,206.2,0.333,196,91,80,18,89,239,3.45,4.8,4897,4,15
"3450",2008,"Scott Kazmir","TBR",24,12,8,27,27,0,0,152.1,0.265,123,61,59,23,70,166,4.37,2.3,4897,5,15
"3451",1993,"Scott Sanders","SDP",24,3,3,9,9,0,NA,52.1,0.301,54,32,24,4,23,37,3.94,0.8,1011423,1,15
"3452",1994,"Scott Sanders","SDP",25,4,8,23,20,1,NA,111,0.297,103,63,59,10,48,109,3.77,2.1,1011423,2,15
"3453",1995,"Scott Sanders","SDP",26,5,5,17,15,0,NA,90,0.262,79,46,43,14,31,88,4.27,1.1,1011423,3,15
"3454",1996,"Scott Sanders","SDP",27,9,5,46,16,0,NA,144,0.284,117,58,54,10,48,157,2.94,3.6,1011423,4,15
"3455",1997,"Scott Sanders","- - -",28,6,14,47,20,2,NA,139.2,0.298,152,92,91,30,62,120,5.6,0.1,1011423,5,15
"3456",1978,"Scott Sanderson","MON",21,4,2,10,9,0,NA,61,0.278,52,20,17,3,21,50,2.67,1.3,1011422,1,15
"3457",1979,"Scott Sanderson","MON",22,9,8,34,24,1,NA,168,0.272,148,69,64,16,54,138,3.35,2.5,1011422,2,15
"3458",1980,"Scott Sanderson","MON",23,16,11,33,33,0,NA,211.1,0.279,206,76,73,18,56,125,3.51,2.7,1011422,3,15
"3459",1981,"Scott Sanderson","MON",24,9,7,22,22,0,NA,137.1,0.254,122,50,45,10,31,77,3.12,2.2,1011422,4,15
"3460",1982,"Scott Sanderson","MON",25,12,12,32,32,0,NA,224,0.277,212,98,86,24,58,158,3.52,2.9,1011422,5,15
"3461",1983,"Scott Sanderson","MON",26,6,7,18,16,1,NA,81.1,0.332,98,50,42,12,20,55,4.06,0.6,1011422,6,55
"3462",1984,"Scott Sanderson","CHC",27,8,5,24,24,0,NA,140.2,0.291,140,54,49,5,24,76,2.7,3.6,1011422,7,55
"3463",1985,"Scott Sanderson","CHC",28,5,6,19,19,0,NA,121,0.242,100,49,42,13,27,80,3.43,2.2,1011422,8,55
"3464",1986,"Scott Sanderson","CHC",29,9,11,37,28,1,NA,169.2,0.281,165,85,79,21,37,124,3.61,2.7,1011422,9,55
"3465",1987,"Scott Sanderson","CHC",30,8,9,32,22,2,NA,144.2,0.296,156,72,69,23,50,106,4.57,1.1,1011422,10,55
"3466",1888,"Scott Stratton","LOU",18,10,17,33,28,0,NA,269.2,0.297,287,196,109,7,53,97,2.87,2.6,1012603,1,15
"3467",1889,"Scott Stratton","LOU",19,3,13,19,17,1,NA,133.2,0.311,157,126,48,6,42,42,3.98,0.9,1012603,2,15
"3468",1890,"Scott Stratton","LOU",20,34,14,50,49,0,NA,431,0.281,398,186,113,3,61,207,2.52,8.1,1012603,3,15
"3469",1891,"Scott Stratton","- - -",21,6,15,22,22,0,NA,190.1,0.304,220,121,83,10,39,57,3.38,1.8,1012603,4,15
"3470",1892,"Scott Stratton","LOU",22,21,19,42,40,0,NA,351.2,0.275,342,188,114,1,70,93,2.64,5.2,1012603,5,15
"3471",1940,"Sid Hudson","WAS",25,17,16,38,31,1,NA,252,0.283,272,149,128,20,81,96,4.1,2.8,1006141,1,15
"3472",1941,"Sid Hudson","WAS",26,13,14,33,33,0,NA,249.2,0.27,242,124,96,12,97,108,3.6,3.7,1006141,2,15
"3473",1942,"Sid Hudson","WAS",27,10,17,35,31,2,NA,239.1,0.288,266,140,116,9,70,72,3.24,3.2,1006141,3,15
"3474",1946,"Sid Hudson","WAS",31,8,11,31,15,1,NA,142.1,0.284,160,75,57,9,37,35,3.58,0.9,1006141,4,15
"3475",1947,"Sid Hudson","WAS",32,6,9,20,17,0,NA,106,0.281,113,66,66,8,58,37,4.45,0.2,1006141,5,15
"3476",1948,"Sid Hudson","WAS",33,4,16,39,29,1,NA,182,0.303,217,128,119,11,107,53,4.72,0.8,1006141,6,55
"3477",1949,"Sid Hudson","WAS",34,8,17,40,27,1,NA,209,0.288,234,117,98,11,91,54,4.06,2.5,1006141,7,55
"3478",1950,"Sid Hudson","WAS",35,14,14,30,30,0,NA,237.2,0.286,261,129,108,17,98,75,4.2,3.3,1006141,8,55
"3479",1951,"Sid Hudson","WAS",36,5,12,23,19,0,NA,138.2,0.311,168,90,79,8,52,43,3.82,1.7,1006141,9,55
"3480",1952,"Sid Hudson","- - -",37,10,13,28,25,0,NA,197,0.279,204,86,73,13,65,74,3.59,2.8,1006141,10,55
"3481",1998,"Sidney Ponson","BAL",21,8,9,31,20,1,NA,135,0.314,157,82,79,19,42,85,4.71,1.2,161,1,15
"3482",1999,"Sidney Ponson","BAL",22,12,12,32,32,0,NA,210,0.287,227,118,110,35,80,112,5.39,1.4,161,2,15
"3483",2000,"Sidney Ponson","BAL",23,9,13,32,32,0,NA,222,0.281,223,125,119,30,83,152,4.66,3.2,161,3,15
"3484",2001,"Sidney Ponson","BAL",24,5,10,23,23,0,NA,138.1,0.306,161,83,76,21,37,84,4.74,1.3,161,4,15
"3485",2002,"Sidney Ponson","BAL",25,7,9,28,28,0,0,176,0.278,172,84,80,26,63,120,4.63,1.7,161,5,15
"3486",2003,"Sidney Ponson","- - -",26,17,12,31,31,0,0,216,0.286,211,94,90,16,61,134,3.67,4.4,161,6,55
"3487",2004,"Sidney Ponson","BAL",27,11,15,33,33,0,0,215.2,0.327,265,136,127,23,69,115,4.44,3,161,7,55
"3488",2005,"Sidney Ponson","BAL",28,7,11,23,23,0,0,130.1,0.35,177,97,90,16,48,68,4.75,1,161,8,55
"3489",2006,"Sidney Ponson","- - -",29,4,5,19,16,0,0,85,0.343,108,62,59,10,36,48,4.96,0.5,161,9,55
"3490",2007,"Sidney Ponson","MIN",30,2,5,7,7,0,0,37.2,0.359,54,31,29,7,17,23,6.03,-0.2,161,10,55
"3491",1920,"Slim Harriss","PHA",23,9,14,31,25,0,NA,192,0.322,226,111,87,5,57,60,3.43,2.8,1005431,1,15
"3492",1921,"Slim Harriss","PHA",24,11,16,39,28,2,NA,227.2,0.303,258,136,108,16,73,92,4.29,2.5,1005431,2,15
"3493",1922,"Slim Harriss","PHA",25,9,20,47,32,3,NA,229.2,0.301,262,148,128,19,94,102,4.46,1.7,1005431,3,15
"3494",1923,"Slim Harriss","PHA",26,10,16,46,28,6,NA,209.1,0.295,221,114,93,9,95,89,4.03,2.3,1005431,4,15
"3495",1924,"Slim Harriss","PHA",27,6,10,36,12,2,NA,123,0.293,138,78,64,5,62,45,4.42,0.9,1005431,5,15
"3496",1908,"Slim Sallee","STL",23,3,8,25,12,0,NA,128.2,0.306,144,65,45,1,36,39,2.44,1,1011385,1,15
"3497",1909,"Slim Sallee","STL",24,10,11,32,27,0,NA,219,0.281,223,107,59,3,59,55,2.7,1.8,1011385,2,15
"3498",1910,"Slim Sallee","STL",25,7,8,18,13,2,NA,115,0.28,112,44,38,4,24,46,2.6,1.6,1011385,3,15
"3499",1911,"Slim Sallee","STL",26,15,9,36,30,3,NA,245,0.27,234,102,75,6,64,74,3.27,3,1011385,4,15
"3500",1912,"Slim Sallee","STL",27,16,17,48,32,6,NA,294,0.282,289,122,85,6,72,108,3.11,3.9,1011385,5,15
"3501",1913,"Slim Sallee","STL",28,19,15,50,31,5,NA,276,0.268,257,97,83,11,60,106,2.96,3.1,1011385,6,55
"3502",1914,"Slim Sallee","STL",29,18,17,46,30,6,NA,282.1,0.263,252,92,66,5,72,105,2.69,3.3,1011385,7,55
"3503",1915,"Slim Sallee","STL",30,13,17,46,33,3,NA,275.1,0.259,245,121,87,6,57,91,2.65,3.2,1011385,8,55
"3504",1916,"Slim Sallee","- - -",31,14,9,31,18,1,NA,181.2,0.271,171,52,44,4,33,63,2.49,1.9,1011385,9,55
"3505",1917,"Slim Sallee","NYG",32,18,7,34,24,4,NA,215.2,0.254,199,70,52,4,34,54,2.49,2,1011385,10,55
"3506",1923,"Sloppy Thurston","- - -",24,7,8,46,13,4,NA,195.2,0.309,231,74,68,11,38,55,3.7,2.1,1013053,1,15
"3507",1924,"Sloppy Thurston","CHW",25,20,14,38,36,1,NA,291,0.277,330,150,123,17,60,37,4.22,2.5,1013053,2,15
"3508",1925,"Sloppy Thurston","CHW",26,10,14,36,25,1,NA,183,0.326,250,143,121,14,47,35,4.57,1.3,1013053,3,15
"3509",1926,"Sloppy Thurston","CHW",27,6,8,31,13,3,NA,134.1,0.302,164,85,75,10,36,35,4.19,0.8,1013053,4,15
"3510",1927,"Sloppy Thurston","WAS",28,13,13,29,28,0,NA,205.1,0.298,254,118,102,16,60,38,4.57,1.1,1013053,5,15
"3511",2013,"Sonny Gray","OAK",23,5,3,12,10,0,0,64,0.276,51,22,19,4,20,67,2.7,1.5,12768,1,15
"3512",2014,"Sonny Gray","OAK",24,14,10,33,33,0,0,219,0.277,187,84,75,15,74,183,3.46,3.5,12768,2,15
"3513",2015,"Sonny Gray","OAK",25,14,7,31,31,0,0,208,0.255,166,71,63,17,59,169,3.45,3.9,12768,3,15
"3514",2016,"Sonny Gray","OAK",26,5,11,22,22,0,0,117,0.319,133,80,74,18,42,94,4.67,0.9,12768,4,15
"3515",2017,"Sonny Gray","- - -",27,10,12,27,27,0,0,162.1,0.269,139,79,64,19,57,153,3.9,2.7,12768,5,15
"3516",1964,"Sonny Siebert","CLE",27,7,9,41,14,3,NA,156,0.292,142,61,56,15,57,144,3.14,2.6,1011951,1,15
"3517",1965,"Sonny Siebert","CLE",28,16,8,39,27,1,NA,188.2,0.257,139,58,51,14,46,191,2.27,5.4,1011951,2,15
"3518",1966,"Sonny Siebert","CLE",29,16,8,34,32,1,NA,241,0.24,193,89,75,25,62,163,3.4,3.4,1011951,3,15
"3519",1967,"Sonny Siebert","CLE",30,10,12,34,26,4,NA,185.1,0.225,136,59,49,17,54,136,3.23,2.3,1011951,4,15
"3520",1968,"Sonny Siebert","CLE",31,12,10,31,30,0,NA,206,0.225,145,76,68,12,88,146,3.12,2.7,1011951,5,15
