Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2013,Roenis Elias,SEA,LEVEL,24,130,8.376923077,3.461538462,2.42,0.623076923,0.22242647,0.09191176,0.13051471,0.22857143,1.246153846,0.28611111,0.71056063,3.184615385,3.197245418,-0.012630033,3.264847385,12673
2015,Ryan Carpenter,COL,LEVEL,24,167,7.113772455,1.994011976,3.56756757,1.023952096,0.18830243,0.05278174,0.13552069,0.25075988,1.209580838,0.28796844,0.67805954,4.041916168,3.939388799,0.102527369,3.602367711,12699
2014,Tyler Pill,NYM,LEVEL,24,124.2,8.663078454,2.093577293,4.13793103,0.794115525,0.23575639,0.05697446,0.17878193,0.24109015,1.155077127,0.30057803,0.69908815,3.826192984,3.346708474,0.47948451,3.244260749,12751
2016,Tyler Pill,NYM,LEVEL,26,138.2,7.139405532,2.206725346,3.23529412,0.519229493,0.19230769,0.05944056,0.13286713,0.25842697,1.240381567,0.3125,0.66140777,4.024028572,3.34373693,0.680291643,3.613486854,12751
2016,Jake Esch,MIA,LEVEL,26,118.1,6.236637277,2.81409243,2.21621622,0.608452417,0.164,0.074,0.09,0.25545852,1.301412115,0.29619565,0.71718539,4.030997264,3.877777975,0.153219289,3.95622201,12756
2015,Chris Devenski,HOU,LEVEL,24,119.2,7.821705244,2.481887241,3.15151515,0.902504451,0.20758483,0.06586826,0.14171657,0.25107296,1.253478404,0.3,0.80621302,3.008348171,3.73960567,-0.731257499,3.890945799,12763
2012,Sonny Gray,OAK,LEVEL,22,148,5.898648649,3.466216216,1.70175439,0.486486486,0.15421304,0.09062003,0.06359301,0.26056338,1.385135135,0.30237581,0.6875632,4.135135135,3.908478438,0.226656697,4.256995512,12768
2014,Sam Gaviglio,STL,LEVEL,24,136.2,8.297540286,3.029260739,2.73913043,0.526827955,0.20860927,0.07615894,0.13245033,0.27868852,1.45609393,0.34939759,0.6554878,4.280477131,3.244420051,1.036057081,3.25368972,12778
2012,Sean Gilmartin,ATL,LEVEL,22,119.1,6.486051627,1.960899329,3.30769231,0.678772845,0.17805383,0.05383023,0.1242236,0.24503311,1.148047898,0.2849162,0.7165109,3.544702633,3.437346982,0.107355652,3.500541005,12781
2014,Cody Anderson,CLE,LEVEL,23,125.2,5.801045629,3.222803127,1.8,1.217503404,0.14889706,0.08272059,0.06617647,0.28484848,1.480102177,0.31234257,0.67388688,5.442956393,4.993982792,0.448973601,4.400253704,12799
