Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2016,Thomas Dorminy,SDP,LEVEL,24,4,5,3.096774194,16,16,2,1,0,0,,93,386,88,38,32,2,22,1,7,4,1,55,sa829160
2016,Nick Vilter,SDP,LEVEL,22,0,0,3,3,0,0,0,0,0,,3,13,5,1,1,0,0,0,0,0,0,2,sa829164
2018,Stetson Woods,SFG,LEVEL,23,2,2,3.578308895,9,1,0,0,0,0,,27.2,118,27,13,11,2,10,0,2,1,0,28,sa829165
2015,Nick Green,KCR,LEVEL,24,0,2,7.425018765,6,0,0,0,0,1,,13.1,63,20,12,11,2,3,0,0,0,0,10,sa829166
2015,Seth Varner,CIN,LEVEL,23,7,4,2.884615385,14,14,0,0,0,0,,78,314,82,30,25,4,5,0,2,5,1,77,sa829168
2015,Brad Wallace,TBR,LEVEL,22,2,6,5.25,10,10,0,0,0,0,,48,215,65,41,28,8,10,0,1,2,0,35,sa829170
2015,Brian Hunter,CIN,LEVEL,22,5,3,2.204079488,28,0,0,0,7,5,,32.2,138,26,10,8,1,13,1,2,2,0,41,sa829173
2017,Brian Hunter,CIN,LEVEL,24,0,0,3,5,0,0,0,4,0,,6,24,5,3,2,0,1,0,0,0,0,8,sa829173
2018,Brian Hunter,CIN,LEVEL,25,1,0,1.975604885,8,0,0,0,1,0,,13.2,63,16,4,3,0,4,0,2,1,0,16,sa829173
2015,Colin Hering,LAD,LEVEL,24,1,0,3,2,0,0,0,0,1,,3,12,2,1,1,1,1,0,0,0,0,3,sa829174
2015,Paul Voelker,DET,LEVEL,22,2,0,2.25,10,0,0,0,2,0,,16,62,9,5,4,0,4,0,2,1,0,20,sa829176
2015,Chris Pike,TBR,LEVEL,22,10,7,3.13145155,22,22,0,0,0,0,,129.1,524,124,53,45,8,31,0,3,11,2,83,sa829177
